productName;buyPrice;priceEach;gross_margin;profit_margin_percentage;margin_classification
1965 Aston Martin DB5;65.96;118.22;52.26;79;YES
1917 Grand Touring Sedan;86.7;153;66.3;76;YES
1911 Ford Town Car;33.3;51.46;18.16;55;YES
1932 Model A Ford J-Coupe;58.48;115.69;57.21;98;YES
1928 Mercedes-Benz SSK;72.56;163.69;91.13;126;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;81.91;38.65;89;YES
1957 Ford Thunderbird;34.21;62;27.79;81;YES
1970 Chevy Chevelle SS 454;49.24;72.02;22.78;46;YES
1966 Shelby Cobra 427 S/C;29.18;43.27;14.09;48;YES
1939 Chevrolet Deluxe Coupe;22.57;28.88;6.31;28;NO
1938 Cadillac V-16 Presidential Limousine;20.61;40.77;20.16;98;YES
1949 Jaguar XK 120;47.25;82.69;35.44;75;YES
1952 Citroen-15CV;72.82;112.74;39.92;55;YES
1969 Chevrolet Camaro Z28;50.51;80.47;29.96;59;YES
2002 Chevy Corvette;62.11;96.37;34.26;55;YES
1936 Mercedes Benz 500k Roadster;21.75;35.29;13.54;62;YES
1937 Lincoln Berline;60.62;87.33;26.71;44;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;48.52;24.26;100;YES
1934 Ford V8 Coupe;34.35;53.09;18.74;55;YES
18th Century Vintage Horse Carriage;60.74;94.25;33.51;55;YES
1917 Maxwell Touring Car;57.54;91.27;33.73;59;YES
1936 Chrysler Airflow;57.46;85.7;28.24;49;YES
1952 Alpine Renault 1300;98.58;197.16;98.58;100;YES
1913 Ford Model T Speedster;60.78;85.1;24.32;40;YES
1958 Setra Bus;77.9;121.64;43.74;56;YES
1940 Ford Pickup Truck;58.33;101.5;43.17;74;YES
1939 Cadillac Limousine;23.14;43.27;20.13;87;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;58.82;25.21;75;YES
1962 LanciaA Delta 16V;103.42;128.53;25.11;24;NO
1964 Mercedes Tour Bus;74.86;106.78;31.92;43;YES
1926 Ford Fire Engine;24.92;53.48;28.56;115;YES
1992 Ferrari 360 Spider red;77.9;169.34;91.44;117;YES
1940s Ford truck;84.76;105.34;20.58;24;NO
1962 Volkswagen Microbus;61.34;102.23;40.89;67;YES
1958 Chevy Corvette Limited Edition;15.91;28.64;12.73;80;YES
1980â€™s GM Manhattan Express;53.93;88.61;34.68;64;YES
1954 Greyhound Scenicruiser;25.98;43.83;17.85;69;YES
1982 Camaro Z28;46.53;82.94;36.41;78;YES
1998 Chrysler Plymouth Prowler;101.51;140.81;39.3;39;YES
1992 Porsche Cayenne Turbo Silver;69.78;106.45;36.67;53;YES
Diamond T620 Semi-Skirted Tanker;68.29;100.7;32.41;47;YES
1950's Chicago Surface Lines Streetcar;26.72;60.28;33.56;126;YES
2001 Ferrari Enzo;95.59;195.33;99.74;104;YES
1969 Ford Falcon;83.05;173.02;89.97;108;YES
1903 Ford Model A;68.3;121.57;53.27;78;YES
Collectable Wooden Train;67.56;81.68;14.12;21;NO
1970 Triumph Spitfire;91.92;122.08;30.16;33;YES
1904 Buick Runabout;52.66;73.73;21.07;40;YES
18th century schooner;82.34;119.2;36.86;45;YES
1962 City of Detroit Streetcar;37.49;55.65;18.16;48;YES
The Mayflower;43.3;75.35;32.05;74;YES
The Queen Mary;53.63;89.38;35.75;67;YES
Pont Yacht;33.3;52.42;19.12;57;YES
The Titanic;51.09;86.15;35.06;69;YES
1972 Alfa Romeo GTA;85.68;112.88;27.2;32;YES
1980s Black Hawk Helicopter;77.27;151.38;74.11;96;YES
1999 Yamaha Speed Boat;51.61;74.84;23.23;45;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;95.28;30.7;48;YES
1900s Vintage Bi-Plane;34.25;64.4;30.15;88;YES
1912 Ford Model T Delivery Wagon;46.91;72.58;25.67;55;YES
1937 Horch 930V Limousine;26.3;63.12;36.82;140;YES
1940 Ford Delivery Sedan;48.64;82.18;33.54;69;YES
Corsair F4U ( Bird Cage);29.34;62.1;32.76;112;YES
The Schooner Bluenose;34;57.34;23.34;69;YES
HMS Bounty;39.83;74.23;34.4;86;YES
American Airlines: MD-11S;36.27;63.67;27.4;76;YES
Boeing X-32A JSF;32.77;40.22;7.45;23;NO
1996 Moto Guzzi 1100i;68.99;118.94;49.95;72;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;158.8;67.78;74;YES
P-51-D Mustang;49;82.79;33.79;69;YES
1936 Harley Davidson El Knucklehead;24.23;57.54;33.31;137;YES
1997 BMW R 1100 S;60.86;110.45;49.59;81;YES
1928 British Royal Navy Airplane;66.74;93.01;26.27;39;YES
1960 BSA Gold Star DBD34;37.32;72.36;35.04;94;YES
1900s Vintage Tri-Plane;36.23;71.73;35.5;98;YES
1997 BMW F650 ST;66.92;94.9;27.98;42;YES
1928 Ford Phaeton Deluxe;33.02;68.79;35.77;108;YES
1930 Buick Marquette Phaeton;27.06;41.46;14.4;53;YES
American Airlines: B767-300;51.15;91.34;40.19;79;YES
America West Airlines B757-200;68.8;81.77;12.97;19;NO
ATA: B757-300;59.33;106.79;47.46;80;YES
F/A 18 Hornet 1/72;54.4;72;17.6;32;YES
1969 Harley Davidson Ultimate Chopper;48.81;86.13;37.32;76;YES
2002 Suzuki XREO;66.27;126.52;60.25;91;YES
1982 Ducati 900 Monster;47.1;58.18;11.08;24;NO
1974 Ducati 350 Mk3 Desmo;56.13;95.93;39.8;71;YES
2002 Yamaha YZR M1;34.17;72.41;38.24;112;YES
1968 Ford Mustang;95.34;155.66;60.32;63;YES
1968 Dodge Charger;75.16;113.92;38.76;52;YES
1970 Plymouth Hemi Cuda;31.92;65.44;33.52;105;YES
1969 Dodge Charger;58.73;104.8;46.07;78;YES
1993 Mazda RX-7;83.51;114.65;31.14;37;YES
1948 Porsche 356-A Roadster;53.9;62.37;8.47;16;NO
1995 Honda Civic;93.89;113.8;19.91;21;NO
1992 Ferrari 360 Spider red;77.9;137.17;59.27;76;YES
1969 Dodge Super Bee;49.05;69.15;20.1;41;YES
1976 Ford Gran Torino;73.49;133.76;60.27;82;YES
1957 Vespa GS150;32.95;59.06;26.11;79;YES
1957 Corvette Convertible;69.93;145.82;75.89;109;YES
1982 Lamborghini Diablo;16.24;34.74;18.5;114;YES
1971 Alpine Renault 1600s;38.58;50.82;12.24;32;YES
1956 Porsche 356A Coupe;98.3;136.22;37.92;39;YES
1961 Chevrolet Impala;32.33;67.1;34.77;108;YES
1982 Ducati 996 R;24.14;33.79;9.65;40;YES
1965 Aston Martin DB5;65.96;120.71;54.75;83;YES
1999 Indy 500 Monte Carlo SS;56.76;114.84;58.08;102;YES
1948 Porsche Type 356 Roadster;62.16;117.26;55.1;89;YES
1966 Shelby Cobra 427 S/C;29.18;43.27;14.09;48;YES
1917 Grand Touring Sedan;86.7;153;66.3;76;YES
1911 Ford Town Car;33.3;58.12;24.82;75;YES
1932 Model A Ford J-Coupe;58.48;111.87;53.39;91;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;75.46;32.2;74;YES
1957 Ford Thunderbird;34.21;66.28;32.07;94;YES
1970 Chevy Chevelle SS 454;49.24;62.47;13.23;27;NO
1939 Chevrolet Deluxe Coupe;22.57;30.53;7.96;35;YES
1938 Cadillac V-16 Presidential Limousine;20.61;36.29;15.68;76;YES
1949 Jaguar XK 120;47.25;74.51;27.26;58;YES
1952 Citroen-15CV;72.82;93.95;21.13;29;NO
1969 Chevrolet Camaro Z28;50.51;76.19;25.68;51;YES
2002 Chevy Corvette;62.11;101.73;39.62;64;YES
1936 Mercedes Benz 500k Roadster;21.75;36.11;14.36;66;YES
1937 Lincoln Berline;60.62;89.38;28.76;47;YES
1928 Mercedes-Benz SSK;72.56;138.38;65.82;91;YES
1952 Alpine Renault 1300;98.58;205.73;107.15;109;YES
1962 LanciaA Delta 16V;103.42;122.62;19.2;19;NO
1958 Setra Bus;77.9;135.3;57.4;74;YES
1940 Ford Pickup Truck;58.33;116.67;58.34;100;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;51.21;26.95;111;YES
1926 Ford Fire Engine;24.92;51.05;26.13;105;YES
1913 Ford Model T Speedster;60.78;93.21;32.43;53;YES
1934 Ford V8 Coupe;34.35;61.84;27.49;80;YES
18th Century Vintage Horse Carriage;60.74;93.2;32.46;53;YES
1917 Maxwell Touring Car;57.54;94.25;36.71;64;YES
1940s Ford truck;84.76;102.92;18.16;21;NO
1939 Cadillac Limousine;23.14;47.29;24.15;104;YES
1962 Volkswagen Microbus;61.34;122.68;61.34;100;YES
1936 Chrysler Airflow;57.46;83.76;26.3;46;YES
1980â€™s GM Manhattan Express;53.93;82.83;28.9;54;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;62.05;28.44;85;YES
1982 Camaro Z28;46.53;97.1;50.57;109;YES
2001 Ferrari Enzo;95.59;193.25;97.66;102;YES
1969 Ford Falcon;83.05;169.56;86.51;104;YES
1998 Chrysler Plymouth Prowler;101.51;140.81;39.3;39;YES
1964 Mercedes Tour Bus;74.86;114.14;39.28;52;YES
1992 Ferrari 360 Spider red;77.9;149.02;71.12;91;YES
1970 Triumph Spitfire;91.92;126.39;34.47;38;YES
1958 Chevy Corvette Limited Edition;15.91;34.3;18.39;116;YES
1992 Porsche Cayenne Turbo Silver;69.78;107.63;37.85;54;YES
1954 Greyhound Scenicruiser;25.98;46.53;20.55;79;YES
1950's Chicago Surface Lines Streetcar;26.72;60.9;34.18;128;YES
Diamond T620 Semi-Skirted Tanker;68.29;111.12;42.83;63;YES
1962 City of Detroit Streetcar;37.49;55.65;18.16;48;YES
1903 Ford Model A;68.3;120.2;51.9;76;YES
Collectable Wooden Train;67.56;80.67;13.11;19;NO
1904 Buick Runabout;52.66;77.24;24.58;47;YES
The Mayflower;43.3;72.75;29.45;68;YES
1972 Alfa Romeo GTA;85.68;123.76;38.08;44;YES
18th century schooner;82.34;113.06;30.72;37;YES
1912 Ford Model T Delivery Wagon;46.91;81.43;34.52;74;YES
1940 Ford Delivery Sedan;48.64;76.31;27.67;57;YES
The Schooner Bluenose;34;58.67;24.67;73;YES
The Titanic;51.09;90.15;39.06;76;YES
The Queen Mary;53.63;94.34;40.71;76;YES
Pont Yacht;33.3;44.23;10.93;33;YES
1999 Yamaha Speed Boat;51.61;68.82;17.21;33;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;99.52;34.94;54;YES
1980s Black Hawk Helicopter;77.27;141.92;64.65;84;YES
1900s Vintage Bi-Plane;34.25;60.97;26.72;78;YES
1937 Horch 930V Limousine;26.3;52.6;26.3;100;YES
Corsair F4U ( Bird Cage);29.34;54.59;25.25;86;YES
HMS Bounty;39.83;76.94;37.11;93;YES
America West Airlines B757-200;68.8;86.76;17.96;26;NO
American Airlines: MD-11S;36.27;63.67;27.4;76;YES
Boeing X-32A JSF;32.77;40.22;7.45;23;NO
F/A 18 Hornet 1/72;54.4;80;25.6;47;YES
P-51-D Mustang;49;80.26;31.26;64;YES
1928 British Royal Navy Airplane;66.74;109.42;42.68;64;YES
1900s Vintage Tri-Plane;36.23;61.58;25.35;70;YES
1997 BMW F650 ST;66.92;80.91;13.99;21;NO
1928 Ford Phaeton Deluxe;33.02;67.41;34.39;104;YES
1930 Buick Marquette Phaeton;27.06;37.09;10.03;37;YES
American Airlines: B767-300;51.15;76.73;25.58;50;YES
ATA: B757-300;59.33;115.09;55.76;94;YES
1969 Harley Davidson Ultimate Chopper;48.81;90.92;42.11;86;YES
1996 Moto Guzzi 1100i;68.99;116.56;47.57;69;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;187.85;96.83;106;YES
2002 Suzuki XREO;66.27;131.04;64.77;98;YES
1936 Harley Davidson El Knucklehead;24.23;51.48;27.25;112;YES
1997 BMW R 1100 S;60.86;94.67;33.81;56;YES
1960 BSA Gold Star DBD34;37.32;75.41;38.09;102;YES
1968 Ford Mustang;95.34;173.17;77.83;82;YES
1968 Dodge Charger;75.16;110.39;35.23;47;YES
1970 Plymouth Hemi Cuda;31.92;72.62;40.7;128;YES
1969 Dodge Charger;58.73;103.64;44.91;76;YES
1948 Porsche 356-A Roadster;53.9;66.99;13.09;24;NO
1969 Dodge Super Bee;49.05;65.94;16.89;34;YES
1976 Ford Gran Torino;73.49;139.64;66.15;90;YES
1957 Vespa GS150;32.95;49.74;16.79;51;YES
1957 Corvette Convertible;69.93;133.92;63.99;92;YES
1982 Ducati 900 Monster;47.1;67.18;20.08;43;YES
1982 Lamborghini Diablo;16.24;34.36;18.12;112;YES
1971 Alpine Renault 1600s;38.58;52.05;13.47;35;YES
1956 Porsche 356A Coupe;98.3;139.03;40.73;41;YES
1961 Chevrolet Impala;32.33;76.8;44.47;138;YES
1982 Ducati 996 R;24.14;38.62;14.48;60;YES
1974 Ducati 350 Mk3 Desmo;56.13;91.85;35.72;64;YES
2002 Yamaha YZR M1;34.17;78.92;44.75;131;YES
1993 Mazda RX-7;83.51;117.48;33.97;41;YES
1995 Honda Civic;93.89;120.91;27.02;29;NO
1992 Ferrari 360 Spider red;77.9;169.34;91.44;117;YES
1965 Aston Martin DB5;65.96;115.73;49.77;75;YES
1999 Indy 500 Monte Carlo SS;56.76;110.88;54.12;95;YES
1948 Porsche Type 356 Roadster;62.16;118.68;56.52;91;YES
1966 Shelby Cobra 427 S/C;29.18;40.25;11.07;38;YES
1917 Grand Touring Sedan;86.7;149.6;62.9;73;YES
1911 Ford Town Car;33.3;51.46;18.16;55;YES
1932 Model A Ford J-Coupe;58.48;114.42;55.94;96;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;79.15;35.89;83;YES
1957 Ford Thunderbird;34.21;64.86;30.65;90;YES
1970 Chevy Chevelle SS 454;49.24;59.53;10.29;21;NO
1939 Chevrolet Deluxe Coupe;22.57;33.19;10.62;47;YES
1938 Cadillac V-16 Presidential Limousine;20.61;38.53;17.92;87;YES
1949 Jaguar XK 120;47.25;73.6;26.35;56;YES
1952 Citroen-15CV;72.82;96.3;23.48;32;YES
1969 Chevrolet Camaro Z28;50.51;77.05;26.54;53;YES
2002 Chevy Corvette;62.11;99.58;37.47;60;YES
1936 Mercedes Benz 500k Roadster;21.75;32.82;11.07;51;YES
1937 Lincoln Berline;60.62;89.38;28.76;47;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;52.83;28.57;118;YES
1928 Mercedes-Benz SSK;72.56;151.88;79.32;109;YES
1913 Ford Model T Speedster;60.78;91.18;30.4;50;YES
1934 Ford V8 Coupe;34.35;52.47;18.12;53;YES
18th Century Vintage Horse Carriage;60.74;101.58;40.84;67;YES
1917 Maxwell Touring Car;57.54;81.35;23.81;41;YES
1936 Chrysler Airflow;57.46;93.49;36.03;63;YES
1952 Alpine Renault 1300;98.58;186.44;87.86;89;YES
1962 LanciaA Delta 16V;103.42;131.49;28.07;27;NO
1958 Setra Bus;77.9;118.9;41;53;YES
1940 Ford Pickup Truck;58.33;95.67;37.34;64;YES
1926 Ford Fire Engine;24.92;51.05;26.13;105;YES
1940s Ford truck;84.76;100.5;15.74;19;NO
1939 Cadillac Limousine;23.14;40.25;17.11;74;YES
1962 Volkswagen Microbus;61.34;118.84;57.5;94;YES
1980â€™s GM Manhattan Express;53.93;87.64;33.71;63;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;62.05;28.44;85;YES
1982 Camaro Z28;46.53;101.15;54.62;117;YES
1998 Chrysler Plymouth Prowler;101.51;160.46;58.95;58;YES
1964 Mercedes Tour Bus;74.86;103.09;28.23;38;YES
1992 Ferrari 360 Spider red;77.9;143.94;66.04;85;YES
1958 Chevy Corvette Limited Edition;15.91;32.18;16.27;102;YES
1992 Porsche Cayenne Turbo Silver;69.78;104.09;34.31;49;YES
1954 Greyhound Scenicruiser;25.98;53.03;27.05;104;YES
Diamond T620 Semi-Skirted Tanker;68.29;94.92;26.63;39;YES
2001 Ferrari Enzo;95.59;166.24;70.65;74;YES
1969 Ford Falcon;83.05;167.83;84.78;102;YES
1903 Ford Model A;68.3;129.76;61.46;90;YES
Collectable Wooden Train;67.56;95.8;28.24;42;YES
1970 Triumph Spitfire;91.92;122.08;30.16;33;YES
1904 Buick Runabout;52.66;79.87;27.21;52;YES
18th century schooner;82.34;114.29;31.95;39;YES
1912 Ford Model T Delivery Wagon;46.91;74.35;27.44;58;YES
1950's Chicago Surface Lines Streetcar;26.72;60.9;34.18;128;YES
1962 City of Detroit Streetcar;37.49;56.24;18.75;50;YES
The Schooner Bluenose;34;55.34;21.34;63;YES
The Mayflower;43.3;77.08;33.78;78;YES
The Titanic;51.09;92.16;41.07;80;YES
The Queen Mary;53.63;91.37;37.74;70;YES
Pont Yacht;33.3;46.96;13.66;41;YES
1972 Alfa Romeo GTA;85.68;133.28;47.6;56;YES
1980s Black Hawk Helicopter;77.27;126.15;48.88;63;YES
1999 Yamaha Speed Boat;51.61;70.54;18.93;37;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;99.52;34.94;54;YES
1900s Vintage Bi-Plane;34.25;63.71;29.46;86;YES
1937 Horch 930V Limousine;26.3;59.83;33.53;127;YES
1940 Ford Delivery Sedan;48.64;74.64;26;53;YES
Corsair F4U ( Bird Cage);29.34;55.96;26.62;91;YES
1930 Buick Marquette Phaeton;27.06;34.91;7.85;29;NO
American Airlines: B767-300;51.15;86.77;35.62;70;YES
HMS Bounty;39.83;87.8;47.97;120;YES
America West Airlines B757-200;68.8;79.78;10.98;16;NO
F/A 18 Hornet 1/72;54.4;70.4;16;29;NO
American Airlines: MD-11S;36.27;65.15;28.88;80;YES
Boeing X-32A JSF;32.77;49.66;16.89;52;YES
1928 Ford Phaeton Deluxe;33.02;56.41;23.39;71;YES
1969 Harley Davidson Ultimate Chopper;48.81;76.56;27.75;57;YES
1996 Moto Guzzi 1100i;68.99;104.67;35.68;52;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;154.93;63.91;70;YES
2002 Suzuki XREO;66.27;146.1;79.83;120;YES
P-51-D Mustang;49;71.81;22.81;47;YES
1936 Harley Davidson El Knucklehead;24.23;52.7;28.47;117;YES
1997 BMW R 1100 S;60.86;103.68;42.82;70;YES
1928 British Royal Navy Airplane;66.74;87.54;20.8;31;YES
1960 BSA Gold Star DBD34;37.32;63.98;26.66;71;YES
1982 Ducati 900 Monster;47.1;56.1;9;19;NO
1900s Vintage Tri-Plane;36.23;71.73;35.5;98;YES
1997 BMW F650 ST;66.92;99.89;32.97;49;YES
1982 Ducati 996 R;24.14;39.43;15.29;63;YES
1974 Ducati 350 Mk3 Desmo;56.13;95.93;39.8;71;YES
2002 Yamaha YZR M1;34.17;73.22;39.05;114;YES
ATA: B757-300;59.33;113.9;54.57;92;YES
1957 Vespa GS150;32.95;60.3;27.35;83;YES
1957 Corvette Convertible;69.93;130.94;61.01;87;YES
1968 Ford Mustang;95.34;161.49;66.15;69;YES
1968 Dodge Charger;75.16;110.39;35.23;47;YES
1970 Plymouth Hemi Cuda;31.92;74.21;42.29;132;YES
1969 Dodge Charger;58.73;97.89;39.16;67;YES
1948 Porsche 356-A Roadster;53.9;70.84;16.94;31;YES
1969 Dodge Super Bee;49.05;74.78;25.73;52;YES
1976 Ford Gran Torino;73.49;129.35;55.86;76;YES
1982 Lamborghini Diablo;16.24;33.23;16.99;105;YES
1971 Alpine Renault 1600s;38.58;48.98;10.4;27;NO
1956 Porsche 356A Coupe;98.3;123.58;25.28;26;NO
1961 Chevrolet Impala;32.33;72.76;40.43;125;YES
1993 Mazda RX-7;83.51;114.65;31.14;37;YES
1965 Aston Martin DB5;65.96;108.26;42.3;64;YES
1995 Honda Civic;93.89;136.56;42.67;45;YES
1999 Indy 500 Monte Carlo SS;56.76;113.52;56.76;100;YES
1992 Ferrari 360 Spider red;77.9;143.94;66.04;85;YES
1948 Porsche Type 356 Roadster;62.16;135.63;73.47;118;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;83.75;40.49;94;YES
1957 Ford Thunderbird;34.21;66.28;32.07;94;YES
1970 Chevy Chevelle SS 454;49.24;65.41;16.17;33;YES
1966 Shelby Cobra 427 S/C;29.18;46.29;17.11;59;YES
1949 Jaguar XK 120;47.25;77.24;29.99;63;YES
1952 Citroen-15CV;72.82;115.09;42.27;58;YES
1969 Chevrolet Camaro Z28;50.51;71.91;21.4;42;YES
2002 Chevy Corvette;62.11;96.37;34.26;55;YES
1937 Lincoln Berline;60.62;87.33;26.71;44;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;48.52;24.26;100;YES
1917 Grand Touring Sedan;86.7;156.4;69.7;80;YES
1911 Ford Town Car;33.3;50.85;17.55;53;YES
1932 Model A Ford J-Coupe;58.48;125.86;67.38;115;YES
1928 Mercedes-Benz SSK;72.56;167.06;94.5;130;YES
1917 Maxwell Touring Car;57.54;89.29;31.75;55;YES
1939 Chevrolet Deluxe Coupe;22.57;31.2;8.63;38;YES
1938 Cadillac V-16 Presidential Limousine;20.61;39.87;19.26;93;YES
1936 Mercedes Benz 500k Roadster;21.75;38.57;16.82;77;YES
1936 Chrysler Airflow;57.46;90.57;33.11;58;YES
1952 Alpine Renault 1300;98.58;182.16;83.58;85;YES
1962 LanciaA Delta 16V;103.42;121.15;17.73;17;NO
1958 Setra Bus;77.9;135.3;57.4;74;YES
1940 Ford Pickup Truck;58.33;95.67;37.34;64;YES
1913 Ford Model T Speedster;60.78;93.21;32.43;53;YES
1934 Ford V8 Coupe;34.35;56.21;21.86;64;YES
18th Century Vintage Horse Carriage;60.74;97.39;36.65;60;YES
1940s Ford truck;84.76;111.39;26.63;31;YES
1939 Cadillac Limousine;23.14;47.29;24.15;104;YES
